job_title,company_name,city,salary_raw,salary_min,salary_max,salary_avg,post_date,job_url,skills,ai_level,product_type,tools,enhance_source
AI数据工程师,鑫立德（湖北）机电设备工程,武汉·东湖新技术产业开发区,8千-1.3万,8.0,13.0,10.5,2026-03-22 15:13:17,https://jobs.51job.com/wuhan-dhxjs/171191469.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,Low,Platform,,http_stub
AI应用专员,江苏高捷节能装备集团,南京·高淳区,6-8千,6.0,8.0,7.0,2026-03-19 10:56:56,https://jobs.51job.com/nanjing-gcq/171141530.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理,武汉才聚星河人才发展,合肥,19-30万/年,15.83,25.0,20.42,2026-03-21 20:02:04,https://jobs.51job.com/hefei/171190033.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
打AI员,深圳市振欢电子,深圳·宝安区,5.5-6千,5.5,6.0,5.75,2026-03-21 16:58:24,https://jobs.51job.com/shenzhen-baq/171189091.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品销售,上海研摹科技,上海·杨浦区,1-2万,10.0,20.0,15.0,2026-03-21 19:03:07,https://jobs.51job.com/shanghai-ypq/171189938.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI Agent产品运营实习生,美团,北京,4-5千,4.0,5.0,4.5,2026-03-22 09:24:18,https://jobs.51job.com/beijing/170963850.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,Low,Platform,,http_stub
AI项目兼职合伙人,泉州驰格信息咨询,泉州·鲤城区,2-4千,2.0,4.0,3.0,2026-03-20 17:10:10,https://jobs.51job.com/quanzhou-lcq/171176880.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
社招职位-人工智能产品经理,商飞智能技术,上海·浦东新区,25-50万/年,20.83,41.67,31.25,2026-03-21 04:55:26,https://jobs.51job.com/shanghai-pdxq/153059436.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI应用产品经理,上海易行时代新能源科技,上海·闵行区,1.5-3万,15.0,30.0,22.5,2026-03-20 16:10:51,https://jobs.51job.com/shanghai-mhq/171177986.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI方向后端开发工程师（实习）,美团,上海,6-8千,6.0,8.0,7.0,2026-03-22 09:23:55,https://jobs.51job.com/shanghai/171037178.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,Low,Platform,,http_stub
AI训练师（双休）,深圳市鹏易微科技,深圳,8千-1万,8.0,10.0,9.0,2026-03-20 17:15:01,https://jobs.51job.com/shenzhen/171180698.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
ai测试工程师助理,深圳市之余乐众信息科技,深圳·宝安区,4-7千·13薪,4.0,7.0,5.5,2026-03-20 16:05:50,https://jobs.51job.com/shenzhen-baq/171083124.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI应用助理 /专员（AI方向）,苏州瑞高新材料,太仓,8千-1.3万,8.0,13.0,10.5,2026-03-20 16:25:37,https://jobs.51job.com/taicang/171178532.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
美团平台数据产品实习生,美团,北京,3-5千,3.0,5.0,4.0,2026-03-22 09:23:53,https://jobs.51job.com/beijing/170928037.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,Low,Platform,,http_stub
人工智能工程师助理,深圳金昱轩科技,深圳·龙岗区,4.6-7千,4.6,7.0,5.8,2026-03-20 16:39:03,https://jobs.51job.com/shenzhen-lgq/171179083.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI运营专员,湖北华展医疗设备,武汉·东湖新技术产业开发区,5千-1万·13薪,5.0,10.0,7.5,2026-03-20 16:57:28,https://jobs.51job.com/wuhan-dhxjs/171179817.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI软件销售 双休 五险一金 移动办公,智慧引擎人才科技（江苏）,广州,1-2万,10.0,20.0,15.0,2026-03-20 18:42:41,https://jobs.51job.com/guangzhou/171183085.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI教育售前解决方案工程师,广东云顺通科技信息,佛山·南海区,1.5-2.5万,15.0,25.0,20.0,2026-03-20 11:09:32,https://jobs.51job.com/foshan-nhq/171167715.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
计算机测试助理,深圳金昱轩科技,深圳·龙岗区,5.5-6.5千,5.5,6.5,6.0,2026-03-20 17:31:21,https://jobs.51job.com/shenzhen-lgq/171179135.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
VLM数据工程师（音视频live）,深圳市法本信息技术,杭州·余杭区,1-1.3万,10.0,13.0,11.5,2026-03-18 16:44:53,https://jobs.51job.com/hangzhou-yhq/171130019.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI软件销售 双休 五险一金 移动办公,智慧引擎人才科技（江苏）,,1-2万,10.0,20.0,15.0,2026-03-20 18:43:37,https://jobs.51job.com/all/171183092.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
人工智能训练/测试(DeepSeek),深圳市瀚睿荣科技,深圳·龙华区,4-6千,4.0,6.0,5.0,2026-03-20 16:04:12,https://jobs.51job.com/shenzhen-lhq/171176662.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
计算机应届生（游戏方向）,深圳市之余乐众信息科技,深圳·宝安区,4-6千·13薪,4.0,6.0,5.0,2026-03-20 16:05:50,https://jobs.51job.com/shenzhen-baq/171129350.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI应用与流程优化,上海虹迪物流科技,上海·闵行区,1.5-2万,15.0,20.0,17.5,2026-03-20 13:50:55,https://jobs.51job.com/shanghai-mhq/170695527.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI软件销售 双休 五险一金 移动办公,智慧引擎人才科技（江苏）,深圳,1-2万,10.0,20.0,15.0,2026-03-20 18:45:11,https://jobs.51job.com/shenzhen/171183113.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI工程师,浙江一景乳业,绍兴,8千-1万,8.0,10.0,9.0,2026-03-20 04:11:17,https://jobs.51job.com/shaoxing/168117422.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
灵活用工平台产品经理,中南教育科技（深圳）,深圳·龙岗区,1.5-2万,15.0,20.0,17.5,2026-03-19 16:09:08,https://jobs.51job.com/shenzhen-lgq/171153643.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
模型训练专员,贵州聚汇达科技,贵阳·云岩区,5-8千,5.0,8.0,6.5,2026-03-20 08:45:46,https://jobs.51job.com/guiyang-yyq/171162558.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI软件销售 双休 五险一金 移动办公,智慧引擎人才科技（江苏）,武汉,1-2万,10.0,20.0,15.0,2026-03-20 18:46:06,https://jobs.51job.com/wuhan/171183129.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI应用助理,深圳市蔚佳莱科技,深圳·南山区,4.5-7千,4.5,7.0,5.75,2026-03-20 11:13:23,https://jobs.51job.com/shenzhen-nsq/171168166.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
IT实习生(J10603),上海信谊联合医药药材,上海·静安区,120元/天,,,,2026-03-19 17:29:41,https://jobs.51job.com/shanghai-jaq/171157342.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
深度学习算法专员,贵州聚汇达科技,贵阳·云岩区,5-8千,5.0,8.0,6.5,2026-03-20 11:09:55,https://jobs.51job.com/guiyang-yyq/171168030.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AIGC,东风汽车集团,武汉·武汉经济开发区,1.5-3万,15.0,30.0,22.5,2026-03-19 17:24:05,https://jobs.51job.com/wuhan-whjj/169281621.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理,苏州千万职联科技,武汉·黄陂区,1.5-2万,15.0,20.0,17.5,2026-03-20 15:14:24,https://jobs.51job.com/wuhan-hpq/171175501.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理（可培养发展）,大未来（南京）文化科技,大连,7-9千,7.0,9.0,8.0,2026-03-19 19:14:59,https://jobs.51job.com/dalian/170594137.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
ai模型训练专员,贵州聚汇达科技,贵阳·云岩区,5-8千,5.0,8.0,6.5,2026-03-20 11:18:22,https://jobs.51job.com/guiyang-yyq/171167655.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
3D建模设计,湖南州旭塑胶,怀化,3.5-7千,3.5,7.0,5.25,2026-03-20 11:37:49,https://jobs.51job.com/huaihua/171168169.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
工业设计实习生,江苏特普达服务外包,常州,4-5千,4.0,5.0,4.5,2026-03-20 14:32:20,https://jobs.51job.com/changzhou/171173515.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理,武汉市胜意科技发展,武汉·江夏区,1.2-2万,12.0,20.0,16.0,2026-03-20 11:31:42,https://jobs.51job.com/wuhan-jxq/171168836.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
PPT设计师-线上兼职-按单日结,湖北省星致远电子商务,,200元/天,,,,2026-03-20 13:00:38,https://jobs.51job.com/all/171170687.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理,北京中科致远科技,北京·海淀区,1.2-2.4万·14薪,12.0,24.0,18.0,2026-03-19 17:08:22,https://jobs.51job.com/beijing-hdq/160340981.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI智能体开发工程师(J10305),普联软件,济南·高新区,1-2万,10.0,20.0,15.0,2026-03-19 20:02:59,https://jobs.51job.com/jinan-gxq/171160743.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI应用开发工程师,广东华智科技,广州·黄埔区,1.5-3万,15.0,30.0,22.5,2026-03-19 10:37:58,https://jobs.51job.com/guangzhou-hpq/170877695.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
PPT设计师-线上兼职-按单日结,湖北省星致远电子商务,,200元/天,,,,2026-03-20 13:18:50,https://jobs.51job.com/all/171171255.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品实习生-Data AML,字节跳动,深圳,5-7千,5.0,7.0,6.0,2026-03-22 01:58:57,https://jobs.51job.com/shenzhen/171154365.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI应用工程师,广州优倍国际物流,广州·天河区,8千-1.2万,8.0,12.0,10.0,2026-03-20 09:41:07,https://jobs.51job.com/guangzhou-thq/171132767.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
AI产品经理,深圳钛丰电子商务,深圳·光明区,1-1.2万,10.0,12.0,11.0,2026-03-19 10:58:45,https://jobs.51job.com/shenzhen-gmq/171141625.html?s=sou_sou_soulb&t=0_0&req=a7231839a3e557211c7ef07566d96152,,,,,not_sampled
