job_title,company_name,city,salary_raw,salary_min,salary_max,salary_avg,post_date,job_url,skills,ai_level,product_type,tools,enhance_source
AI产品经理,普望（上海）信息科技,广州,1.8-2.5万,18.0,25.0,21.5,2026-03-25 14:53:18,https://jobs.51job.com/guangzhou/171255716.html?s=sou_sou_soulb&t=0_0&req=8cd97d5642d2279caaef309d7d1dcd72,,Low,Platform,,http_stub
AI产品经理,广州市派客朴食信息科技,广州·海珠区,1.8-2.5万,18.0,25.0,21.5,2026-03-25 17:30:35,https://jobs.51job.com/guangzhou-hzq/171262863.html?s=sou_sou_soulb&t=0_0&req=8cd97d5642d2279caaef309d7d1dcd72,,Low,Platform,,http_stub
ai产品经理,广东健力宝,广州·番禺区,1-1.5万·13薪,10.0,15.0,12.5,2026-03-23 11:53:24,https://jobs.51job.com/guangzhou-pyq/171200228.html?s=sou_sou_soulb&t=0_0&req=8cd97d5642d2279caaef309d7d1dcd72,,Low,Platform,,http_stub
AI产品经理（广州）,凯通科技,广州·黄埔区,1.8-3万,18.0,30.0,24.0,2026-03-17 15:16:40,https://jobs.51job.com/guangzhou-hpq/171098522.html?s=sou_sou_soulb&t=0_0&req=8cd97d5642d2279caaef309d7d1dcd72,,,,,not_sampled
AI产品经理,广东省出版集团数字出版,广州·天河区,13-18万/年,10.83,15.0,12.92,2026-03-20 15:33:51,https://jobs.51job.com/guangzhou-thq/171128219.html?s=sou_sou_soulb&t=0_0&req=9acde0936dda49685d6f2b15245ea885,,Low,Platform,,http_stub
AI产品经理（外呼方向）自研,广东超腾信息科技,广州·天河区,1-1.5万,10.0,15.0,12.5,2026-03-11 14:39:57,https://jobs.51job.com/guangzhou-thq/170988985.html?s=sou_sou_soulb&t=0_0&req=c135dcf5023b2a7844be263a5359d49d,,,,,not_sampled
AI产品经理（具身机器人方向优先）,广州凡拓数字创意科技,广州·天河区,5-6万·16薪,50.0,60.0,55.0,2026-03-17 10:53:54,https://jobs.51job.com/guangzhou-thq/169262602.html?s=sou_sou_soulb&t=0_0&req=c135dcf5023b2a7844be263a5359d49d,,,,,not_sampled
AI产品经理（智能音箱方向）双休,广东超腾信息科技,广州·天河区,1-1.5万,10.0,15.0,12.5,2026-03-10 17:56:41,https://jobs.51job.com/guangzhou-thq/170970399.html?s=sou_sou_soulb&t=0_0&req=c6e3244e7f4202d3e369aae8cab8769d,,,,,not_sampled
医疗AI产品经理（影像AI/医技AI｜医院ToB）,广州宏健智能信息工程,广州·黄埔区,3-5万,30.0,50.0,40.0,2026-02-25 11:01:33,https://jobs.51job.com/guangzhou-hpq/170655998.html?s=sou_sou_soulb&t=0_0&req=f1f1a38286b637d3efae0b4c416c3e9b,,,,,not_sampled
AI产品经理,广东省建筑科学研究院集团,广州·天河区,1.5-2.5万,15.0,25.0,20.0,2026-03-23 15:51:28,https://jobs.51job.com/guangzhou-thq/168841366.html?s=sou_sou_soulb&t=0_0&req=f1f1a38286b637d3efae0b4c416c3e9b,,Low,Platform,,http_stub
AI产品经理-yfzx,广州海颐软件,广州·黄埔区,1.5-2.5万,15.0,25.0,20.0,2026-02-27 14:12:22,https://jobs.51job.com/guangzhou-hpq/168794145.html?s=sou_sou_soulb&t=0_0&req=ce36614eb3eb441b98624e490731bf4b,,,,,not_sampled
ai产品经理,广州长嘉电子,广州·南沙区,3-5万·14薪,30.0,50.0,40.0,2025-12-03 11:27:36,https://jobs.51job.com/guangzhou-nsq/169625066.html?s=sou_sou_soulb&t=0_0&req=05b395fb001a136e36e5cc2126046b6c,,,,,not_sampled
AI产品经理,上海以稀文化传播,广州·白云区,1.2-1.6万,12.0,16.0,14.0,2026-01-16 20:45:44,https://jobs.51job.com/guangzhou-byq/170309976.html?s=sou_sou_soulb&t=0_0&req=8af509f19213b3c834b5cde02e4290c6,,,,,not_sampled
AI产品经理,广州广日,广州·海珠区,1.2-2万·14薪,12.0,20.0,16.0,2025-12-19 16:27:04,https://jobs.51job.com/guangzhou-hzq/169908874.html?s=sou_sou_soulb&t=0_0&req=570fc78f697c9f82ace70f638f6158bd,,,,,not_sampled
AI产品经理,广州创美药业,广州·南沙区,1-1.5万,10.0,15.0,12.5,2026-01-04 10:44:51,https://jobs.51job.com/guangzhou-nsq/170091544.html?s=sou_sou_soulb&t=0_0&req=570fc78f697c9f82ace70f638f6158bd,,,,,not_sampled
